lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  4.9031E-01,  1.5159E+01,  0.0000E+00
 -89.000, -177.000,  4.9021E-01,  1.5076E+01,  0.0000E+00
 -89.000, -174.000,  4.9010E-01,  1.4988E+01,  0.0000E+00
 -89.000, -171.000,  4.8997E-01,  1.4898E+01,  0.0000E+00
 -89.000, -168.000,  4.8983E-01,  1.4808E+01,  0.0000E+00
 -89.000, -165.000,  4.8968E-01,  1.4716E+01,  0.0000E+00
 -89.000, -162.000,  4.8951E-01,  1.4623E+01,  0.0000E+00
 -89.000, -159.000,  4.8933E-01,  1.4530E+01,  0.0000E+00
 -89.000, -156.000,  4.8914E-01,  1.4437E+01,  0.0000E+00
 -89.000, -153.000,  4.8894E-01,  1.4344E+01,  0.0000E+00
 -89.000, -150.000,  4.8873E-01,  1.4251E+01,  0.0000E+00
 -89.000, -147.000,  4.8850E-01,  1.4159E+01,  0.0000E+00
 -89.000, -144.000,  4.8827E-01,  1.4069E+01,  0.0000E+00
 -89.000, -141.000,  4.8803E-01,  1.3979E+01,  0.0000E+00
 -89.000, -138.000,  4.8778E-01,  1.3890E+01,  0.0000E+00
 -89.000, -135.000,  4.8752E-01,  1.3803E+01,  0.0000E+00
 -89.000, -132.000,  4.8725E-01,  1.3718E+01,  0.0000E+00
 -89.000, -129.000,  4.8698E-01,  1.3635E+01,  0.0000E+00
 -89.000, -126.000,  4.8670E-01,  1.3554E+01,  0.0000E+00
 -89.000, -123.000,  4.8642E-01,  1.3475E+01,  0.0000E+00
 -89.000, -120.000,  4.8613E-01,  1.3399E+01,  0.0000E+00
 -89.000, -117.000,  4.8584E-01,  1.3325E+01,  0.0000E+00
 -89.000, -114.000,  4.8555E-01,  1.3254E+01,  0.0000E+00
 -89.000, -111.000,  4.8525E-01,  1.3187E+01,  0.0000E+00
 -89.000, -108.000,  4.8496E-01,  1.3122E+01,  0.0000E+00
