ND,NS,height_km,inc_deg
1,12,1673.3179126867847,102.88007681658098
1,13,1255.3105850485003,100.65737024859513
1,14,887.6863791997572,98.94978879786728
1,15,561.3830274949139,97.61042416787356
2,23,1904.8287650562338,104.25181262947378
2,25,1457.3466338512665,101.6924600692616
2,27,1065.8246922961957,99.74981830564961
2,29,719.8460236675236,98.24107428194777
2,31,411.48628491782586,97.04691214736533
3,34,1985.7667681861035,104.75666255718633
3,35,1825.822486209942,103.77182360802566
3,37,1527.714384207761,102.06997942332646
3,38,1388.5254476022888,101.33183453127441
3,40,1127.6698319581812,100.0394882286489
3,41,1005.2391418567952,99.47206430523461
3,43,774.7078423793837,98.46803741216553
3,44,666.025236275427,98.0227660065391
3,46,460.546126631286,97.22788374845999
3,47,363.297850987182,96.87237940409887
4,47,1787.0208688626876,103.54063985072712
4,49,1563.4957261350983,102.26540598209856
4,51,1354.6779411207363,101.1575440449302
4,53,1159.07793041561,100.18900408880053
4,55,975.4059700222258,99.33745422997809
4,57,802.5392702742685,98.58490633030708
5,57,1953.1549435969525,104.55162947937748
5,58,1857.1979310806878,103.96094283711197
4,59,639.4954128087638,97.91672231430289
5,59,1763.9593065466918,103.40463805680712
4,61,485.410750967999,97.3208819020899
5,61,1585.1598950889186,102.38487605418756
5,62,1499.3781510516005,101.91687769416522
4,63,339.5227173247179,96.78743407418116
5,63,1415.8718281098231,101.47412267896797
5,64,1334.5458670803773,101.05482858578665
5,66,1178.0812942509428,100.2802629129654
5,67,1102.7779532745947,99.92214753653636
5,68,1029.3248473945316,99.58177791596876
5,69,957.6502952291268,99.25800937570799
5,71,819.3686975545548,98.65614580828377
6,71,1748.675206404629,103.3150741134737
5,72,752.6361359548224,98.37618496300819
5,73,687.4306568334084,98.10907880349463
6,73,1599.685066526345,102.46546477038623
5,74,623.6971049202737,97.8540616685881
5,76,500.43850807092247,97.37750823468606
5,77,440.8160123471683,97.15470268858955
6,77,1321.197147672859,100.98711090929007
5,78,382.4702453748677,96.94143924681593
5,79,325.3580189920394,96.73718893233521
6,79,1190.8169897894795,100.34176000849885
7,79,2009.257347628925,104.90571550567263
7,80,1939.2755649287933,104.46503303905025
7,81,1870.7367221126678,104.04315664209915
7,82,1803.5937980091758,103.63901980391141
6,83,945.8726298720604,99.2055867457882
7,83,1737.801852907232,103.25163300194743
6,85,830.6432887543104,98.70411285184984
7,85,1610.100860689573,102.5234957919329
7,86,1548.1113367286882,102.18109294708105
7,87,1487.311642688863,101.85212485603225
7,88,1427.6656542172022,101.53589722671677
6,89,613.2142293224232,97.81268354821543
7,89,1369.1387380472952,101.23176091917964
7,90,1311.6976745386255,100.93910835145317
6,91,510.5028655113615,97.41560949233791
8,91,1965.3470443693818,104.62802522796878
7,92,1199.946863785658,100.38601269629338
7,93,1145.5771138237267,100.12453446546306
8,93,1845.396999283824,103.88958122631536
7,94,1092.1730869789487,99.87246457854103
6,95,315.9563209998198,96.70398837957293
7,95,1039.7076272805352,99.62936009184327
8,95,1729.6706895052112,103.20434087672507
7,96,988.1546177837066,99.3948040714907
7,97,937.4889304952873,99.16840374311218
8,97,1617.9350709092935,102.56727724036416
7,99,838.7236749900877,98.73860983935276
8,99,1509.974421177648,101.97395860086698
7,100,790.5783843227615,98.53453695771248
7,101,743.2288894300777,98.33725841879902
8,101,1405.588733697702,101.42046266505365
7,102,696.654350935406,98.14647945757086
7,103,650.8346725285799,97.96192116607648
8,103,1304.5922887727236,100.90330548170239
9,103,1931.589760252988,104.41724939736537
7,104,605.7504675691509,97.78331946740376
9,104,1878.2823732377794,104.08913695492903
8,105,1206.8123795526176,100.41938213613409
7,106,517.7142919219499,97.44299808055216
9,106,1774.1887446424075,103.46483618630481
7,107,474.7268203306794,97.28081621385928
8,107,1112.0881733439044,99.965916950063
9,107,1723.3605269332713,103.16772796247794
7,108,432.40376523982457,97.12366501967043
7,109,390.72884677716627,96.97134169586313
8,109,1020.2696916866433,99.54042141602255
9,109,1624.0416526459242,102.60148355523636
7,110,349.68632856229414,96.8236535387475
9,110,1575.5131401762505,102.33157037032753
7,111,309.26099482244626,96.68041734125696
8,111,931.2168948879763,99.1406584721411
9,112,1480.627983547816,101.81637154309625
8,113,844.798858649673,98.7646120097248
9,113,1434.237102484134,101.57042502636627
10,113,2002.1928519760388,104.86076887752297
8,115,760.8930320803495,98.41046072664545
9,115,1343.4772457472131,101.10031005541717
9,116,1299.0772230628609,100.87557599076386
8,117,679.3845677906163,98.07655561079636
