inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
45,0.0767039609053498,28000,868000,608622.4489795918,5075000,29193000,7335381.443298969,98
46,0.07657150205761316,28000,876000,620229.1666666666,5068000,29198000,7491463.157894737,96
47,0.07626157407407408,50000,887000,624221.052631579,5057000,29207000,7574319.14893617,95
48,0.07611111111111112,33000,895000,629617.0212765958,5049000,35078000,7657612.903225807,94
49,0.07597222222222222,82000,901000,642130.4347826086,5038000,35069000,7827725.274725275,92
50,0.07591949588477366,71000,907000,641684.7826086957,5028000,35059000,7828802.197802198,92
51,0.07585519547325102,58000,913000,641141.304347826,5019000,35050000,7830000.0,92
52,0.07570601851851852,27000,925000,639880.4347826086,5009000,35040000,7831890.10989011,92
53,0.0754539609053498,7000,937000,659247.1910112359,5001000,35045000,8101761.363636363,89
54,0.07544753086419753,156000,949000,682186.0465116279,4991000,35044000,8388400.0,86
55,0.07546810699588477,121000,959000,682372.0930232558,4974000,35043000,8388870.588235294,86
56,0.07532921810699589,74000,970000,673287.356321839,101000,35050000,8293232.558139535,87
57,0.07509002057613169,72000,979000,678953.4883720931,245000,40979000,8393647.05882353,86
58,0.07482124485596708,86000,989000,676523.2558139535,80000,40971000,8396741.176470589,86
59,0.07444444444444444,20000,1007000,681035.2941176471,213000,40963000,8500821.42857143,85
60,0.07426054526748971,132000,1027000,695722.891566265,314000,40955000,8710548.780487806,83
61,0.0741795267489712,82000,1048000,694963.8554216868,389000,40946000,8711914.634146342,83
62,0.07413451646090535,94000,1071000,703012.1951219512,455000,40935000,8820506.172839506,82
63,0.07433384773662552,54000,1093000,704902.4390243902,537000,40924000,8819185.185185185,82
64,0.07383359053497943,75000,1116000,708802.4691358025,221000,40911000,8934887.5,81
65,0.07367412551440329,211000,1139000,716112.5,297000,40904000,9050139.240506329,80
66,0.0735545267489712,167000,1162000,697512.1951219512,163000,40889000,8828370.370370371,82
67,0.07407793209876543,81000,1188000,694012.048192771,24000,40873000,8716268.292682927,83
68,0.07389274691358025,266000,1218000,718237.5,59000,40863000,9049582.278481012,80
69,0.07370884773662552,248000,1242000,716450.0,79000,40871000,9051886.075949367,80
70,0.07274305555555556,231000,1277000,707062.5,188000,41347000,9061860.759493671,80
71,0.07261445473251028,175000,1311000,688597.5609756098,140000,40873000,8839765.432098765,82
72,0.07198688271604939,123000,1347000,691074.074074074,311000,41271000,8956737.5,81
73,0.0718287037037037,37000,1381000,681146.3414634146,279000,40810000,8848024.691358024,82
74,0.07183899176954732,161000,1414000,698275.0,4651000,40852000,9072227.848101266,80
75,0.07107896090534979,143000,1447000,690887.5,4628000,41157000,9079974.683544304,80
76,0.07078317901234568,126000,1483000,679518.5185185185,4605000,40835000,8969575.0,81
77,0.06981995884773663,65000,1518000,662097.5609756098,95000,41113000,8868283.950617284,82
78,0.06944058641975309,85000,1549000,666629.6296296297,4559000,40688000,8982975.0,81
79,0.06902263374485597,71000,1579000,662617.2839506173,4533000,40686000,8987137.5,81
80,0.06836291152263374,54000,1606000,656283.9506172839,4502000,40700000,8993712.5,81
81,0.0672633744855967,43000,1633000,645728.3950617284,4459000,40741000,9004550.0,81
82,0.06605838477366255,31000,1661000,634160.4938271604,4422000,40778000,9016250.0,81
83,0.06532793209876543,21000,1686000,619500.0,4393000,40723000,8911938.271604938,82
84,0.06531764403292181,12000,1706000,604654.7619047619,4271000,40695000,8697265.060240963,84
85,0.06661394032921811,4000,1716000,602313.9534883721,4173000,36209000,8480705.88235294,86
86,0.06573688271604938,2000,1740000,762940.2985074627,353000,36185000,10932530.303030303,67
87,0.06364711934156378,5000,1772000,933811.320754717,27000,36168000,13907153.846153846,53
88,0.06364197530864198,26000,1801000,1178285.7142857143,16000,39073000,17638707.31707317,42
89,0.06291795267489712,819000,1846000,1322297.2972972973,3870000,39005000,20104527.777777776,37
90,0.0628780864197531,224000,1799000,1286684.2105263157,3821000,39156000,19560486.486486487,38
91,0.0631712962962963,38000,1754000,1198097.5609756098,6000,39241000,18085000.0,41
92,0.06383487654320988,2000,1717000,1056127.6595744682,12000,39325000,15712630.43478261,47
93,0.06343235596707819,4000,1685000,896818.1818181818,449000,39403000,13384685.185185185,55
94,0.06414737654320987,3000,1639000,744492.5373134328,3773000,39478000,10418272.727272727,67
95,0.06443672839506173,5000,1612000,556733.3333333334,3781000,39554000,7722730.337078651,90
96,0.06531764403292181,13000,1565000,564344.4444444445,3800000,39625000,7714449.438202247,90
97,0.0653639403292181,22000,1532000,571089.8876404495,3819000,39691000,7801090.909090909,89
98,0.06589377572016461,31000,1489000,575719.1011235955,3830000,39752000,7795818.181818182,89
99,0.0666332304526749,43000,1443000,582179.7752808989,3846000,39812000,7788738.636363637,89
