inc,sma,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
0,6671,0.0,0,0,0.0,0,0,0,1
0,6871,0.0,0,0,0.0,0,0,0,1
0,7071,0.16667952674897119,0,10000,9999.228514118191,-777550000,80000,-10000.771545405447,12962
0,7271,0.29169238683127574,0,20000,11650.914320936921,-777580000,30000,-11652.026506395438,19468
0,7471,0.6916795267489712,0,40000,33540.15964080818,-777600000,20000,-33542.25132522607,16036
0,7671,0.6916795267489712,0,30000,23491.002795248078,-777600000,20000,-23492.02882725486,22896
0,7871,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
0,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
0,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
5,6671,0.0,0,0,0.0,0,0,0,1
5,6871,0.022608024691358024,0,10000,9994.31495167709,-777150000,50570000,-10233.219567690558,1759
5,7071,0.15491255144032923,0,10000,9999.169917821864,-777550000,240000,-10000.830151087497,12047
5,7271,0.28738425925925926,0,20000,11634.214910453977,-777580000,540000,-11635.341281824334,19208
5,7471,0.6966949588477366,0,40000,33783.36243452232,-777600000,20000,-33785.46928593701,16036
5,7671,0.696875,0,60000,24290.196781567978,-777600000,20000,-24291.285637439483,22309
5,7871,0.9843878600823045,0,60390000,629490.1315789474,-777600000,10000,-630008.2304526749,1216
5,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
5,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
10,6671,0.0,0,0,0.0,0,0,0,1
10,6871,0.05212191358024691,0,10000,9997.533300444005,-777580000,46850000,-10007.40192450037,4054
10,7071,0.1392232510288066,0,10000,9999.076383116284,-777550000,21420000,-10000.923702198412,10827
10,7271,0.2747299382716049,0,20000,11956.679912688196,-777580000,2980000,-11957.90887719691,17867
10,7471,0.682420267489712,0,40000,33091.16986779746,-777600000,20000,-33093.23355160586,16036
10,7671,0.6822530864197531,0,60000,23857.5347393983,-777600000,20000,-23858.607663248786,22237
10,7871,0.9523405349794238,0,49860000,199714.1316073355,-777600000,10000,-199768.00647423792,3708
10,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
10,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
15,6671,0.0,0,0,0.0,0,0,0,1
15,6871,0.06920010288065843,0,10000,9998.141954663693,-777580000,44130000,-10005.575171901133,5382
15,7071,0.14193672839506172,0,10000,9999.09403877514,-777550000,28420000,-10000.90604330887,11038
15,7271,0.2606610082304527,0,20000,12399.216981709182,-777590000,5580000,-12401.199070108894,16347
15,7471,0.6625,0,40000,30428.824571766098,-777600000,30000,-30430.62200956938,16930
