ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
1,12,1673.31791268678,102.88007681658,0.0,,,,,,,0
1,13,1255.3105850485,100.657370248595,0.0,,,,,,,0
1,14,887.6863791997603,98.9497887978672,0.0,,,,,,,0
1,15,561.3830274949096,97.6104241678735,0.0,,,,,,,0
2,23,1904.8287650562306,104.251812629473,0.0,,,,,,,0
2,25,1457.3466338512599,101.692460069261,0.0,,,,,,,0
2,27,1065.8246922961898,99.7498183056496,0.0,,,,,,,0
2,29,719.8460236675201,98.2410742819477,0.0,,,,,,,0
2,31,411.48628491782983,97.0469121473653,0.0,,,,,,,0
3,34,1985.7667681861003,104.756662557186,0.0,,,,,,,0
3,35,1825.8224862099396,103.771823608025,0.0,,,,,,,0
3,37,1527.7143842077603,102.069979423326,0.0,,,,,,,0
3,38,1388.52544760228,101.331834531274,0.0,,,,,,,0
3,40,1127.66983195818,100.039488228648,0.0,,,,,,,0
3,41,1005.2391418567904,99.4720643052346,0.0,,,,,,,0
3,43,774.70784237938,98.4680374121655,0.0,,,,,,,0
3,44,666.02523627543,98.0227660065391,0.0,,,,,,,0
3,46,460.54612663128955,97.2278837484599,0.0,,,,,,,0
3,47,363.29785098718,96.8723794040988,0.0,,,,,,,0
4,47,1787.02086886268,103.540639850727,0.0,,,,,,,0
4,49,1563.49572613509,102.265405982098,0.0,,,,,,,0
4,51,1354.6779411207299,101.15754404493,0.0,,,,,,,0
4,53,1159.0779304156104,100.1890040888,0.0,,,,,,,0
4,55,975.4059700222297,99.337454229978,0.0,,,,,,,0
4,57,802.5392702742702,98.584906330307,0.0,,,,,,,0
5,57,1953.15494359695,104.551629479377,0.0,,,,,,,0
5,58,1857.19793108068,103.960942837111,0.0,,,,,,,0
4,59,639.4954128087602,97.9167223143028,0.0,,,,,,,0
5,59,1763.9593065466897,103.404638056807,0.0,,,,,,,0
4,61,485.4107509679998,97.3208819020899,0.0,,,,,,,0
5,61,1585.1598950889102,102.384876054187,0.0,,,,,,,0
5,62,1499.3781510516,101.916877694165,0.0,,,,,,,0
4,63,339.52271732472036,96.7874340741811,0.0,,,,,,,0
5,63,1415.87182810982,101.474122678967,0.0,,,,,,,0
5,64,1334.54586708037,101.054828585786,0.0,,,,,,,0
5,66,1178.0812942509401,100.280262912965,0.0,,,,,,,0
5,67,1102.77795327459,99.9221475365363,0.0,,,,,,,0
5,68,1029.3248473945296,99.5817779159687,0.0,,,,,,,0
5,69,957.6502952291303,99.2580093757079,0.0,,,,,,,0
5,71,819.3686975545497,98.6561458082837,0.0,,,,,,,0
6,71,1748.6752064046204,103.315074113473,0.0,,,,,,,0
5,72,752.63613595482,98.3761849630081,0.0,,,,,,,0
5,73,687.4306568334096,98.1090788034946,0.0,,,,,,,0
6,73,1599.68506652634,102.465464770386,0.0,,,,,,,0
5,74,623.6971049202702,97.8540616685881,0.0,,,,,,,0
5,76,500.43850807091985,97.377508234686,0.0,,,,,,,0
5,77,440.8160123471698,97.1547026885895,0.0,,,,,,,0
6,77,1321.1971476728504,100.98711090929,0.0,,,,,,,0
5,78,382.4702453748696,96.9414392468159,0.0,,,,,,,0
5,79,325.35801899204034,96.7371889323352,0.0,,,,,,,0
6,79,1190.8169897894704,100.341760008498,0.0,,,,,,,0
7,79,2009.25734762892,104.905715505672,0.0,,,,,,,0
7,80,1939.2755649287901,104.46503303905,0.0,,,,,,,0
7,81,1870.7367221126606,104.043156642099,0.0,,,,,,,0
7,82,1803.5937980091703,103.639019803911,0.0,,,,,,,0
6,83,945.8726298720603,99.2055867457882,0.0,,,,,,,0
7,83,1737.8018529072297,103.251633001947,0.0,,,,,,,0
6,85,830.6432887543097,98.7041128518498,0.0,,,,,,,0
7,85,1610.1008606895703,102.523495791932,0.0,,,,,,,0
7,86,1548.1113367286798,102.181092947081,0.0,,,,,,,0
7,87,1487.31164268886,101.852124856032,0.0,,,,,,,0
7,88,1427.6656542172004,101.535897226716,0.0,,,,,,,0
6,89,613.2142293224197,97.8126835482154,0.0,,,,,,,0
7,89,1369.1387380472897,101.231760919179,0.0,,,,,,,0
7,90,1311.69767453862,100.939108351453,0.0,,,,,,,0
6,91,510.50286551136014,97.4156094923379,0.0,,,,,,,0
8,91,1965.3470443693805,104.628025227968,0.0,,,,,,,0
7,92,1199.9468637856498,100.386012696293,0.0,,,,,,,0
7,93,1145.5771138237196,100.124534465463,0.0,,,,,,,0
8,93,1845.3969992838192,103.889581226315,0.0,,,,,,,0
7,94,1092.1730869789399,99.872464578541,0.0,,,,,,,0
6,95,315.9563209998196,96.7039883795729,0.0,,,,,,,0
7,95,1039.7076272805298,99.6293600918432,0.0,,,,,,,0
8,95,1729.6706895052102,103.204340876725,0.0,,,,,,,0
7,96,988.1546177837099,99.3948040714907,0.0,,,,,,,0
7,97,937.4889304952903,99.1684037431121,0.0,,,,,,,0
8,97,1617.9350709092896,102.567277240364,0.0,,,,,,,0
7,99,838.7236749900903,98.7386098393527,0.0,,,,,,,0
8,99,1509.9744211776397,101.973958600866,0.0,,,,,,,0
7,100,790.57838432276,98.5345369577124,0.0,,,,,,,0
7,101,743.22888943008,98.337258418799,0.0,,,,,,,0
8,101,1405.5887336977003,101.420462665053,0.0,,,,,,,0
7,102,696.6543509354096,98.1464794575708,0.0,,,,,,,0
7,103,650.8346725285801,97.9619211660764,0.0,,,,,,,0
8,103,1304.5922887727202,100.903305481702,0.0,,,,,,,0
9,103,1931.5897602529803,104.417249397365,0.0,,,,,,,0
7,104,605.7504675691498,97.7833194674037,0.0,,,,,,,0
9,104,1878.2823732377692,104.089136954929,0.0,,,,,,,0
8,105,1206.8123795526099,100.419382136134,0.0,,,,,,,0
7,106,517.7142919219496,97.4429980805521,0.0,,,,,,,0
9,106,1774.1887446423998,103.464836186304,0.0,,,,,,,0
7,107,474.7268203306803,97.2808162138592,0.0,,,,,,,0
8,107,1112.0881733439,99.965916950063,0.0,,,,,,,0
9,107,1723.3605269332702,103.167727962477,0.0,,,,,,,0
7,108,432.40376523982013,97.1236650196704,0.0,,,,,,,0
7,109,390.72884677716957,96.9713416958631,0.0,,,,,,,0
8,109,1020.2696916866398,99.5404214160225,0.0,,,,,,,0
9,109,1624.0416526459203,102.601483555236,0.0,,,,,,,0
7,110,349.6863285622903,96.8236535387475,0.0,,,,,,,0
9,110,1575.51314017625,102.331570370327,0.0,,,,,,,0
7,111,309.2609948224499,96.6804173412569,0.0,,,,,,,0
8,111,931.2168948879798,99.1406584721411,0.0,,,,,,,0
9,112,1480.62798354781,101.816371543096,0.0,,,,,,,0
8,113,844.7988586496704,98.7646120097248,0.0,,,,,,,0
9,113,1434.2371024841304,101.570425026366,0.0,,,,,,,0
10,113,2002.1928519760295,104.860768877522,0.0,,,,,,,0
8,115,760.8930320803502,98.4104607266454,0.0,,,,,,,0
9,115,1343.47724574721,101.100310055417,0.0,,,,,,,0
9,116,1299.07722306286,100.875575990763,0.0,,,,,,,0
8,117,679.3845677906202,98.0765556107963,0.0,,,,,,,0
10,117,1810.2465706331895,103.678663979814,0.0,,,,,,,0
9,118,1212.1629975741198,100.445443448333,0.0,,,,,,,0
8,119,600.1657159714496,97.7614004720416,0.0,,,,,,,0
9,119,1169.6205688011596,100.239558164759,0.0,,,,,,,0
10,119,1718.32123612932,103.138544040474,0.0,,,,,,,0
8,121,523.1352753853498,97.463635047034,0.0,,,,,,,0
9,121,1086.29772892425,99.845018076377,0.0,,,,,,,0
10,121,1628.9353279111501,102.62894620508,0.0,,,,,,,0
9,122,1045.4915945760104,99.6559421444366,0.0,,,,,,,0
8,123,448.1980950838097,97.1820202855829,0.0,,,,,,,0
10,123,1541.97843308363,102.147603401194,0.0,,,,,,,0
9,124,965.52844752897,99.2931973408528,0.0,,,,,,,0
11,124,2015.6925619596404,104.946749161714,0.0,,,,,,,0
8,125,375.26462142540004,96.9154254948036,0.0,,,,,,,0
9,125,926.3479385731398,99.119162451777,0.0,,,,,,,0
11,125,1970.9036832162692,104.662944786634,0.0,,,,,,,0
11,126,1926.7080374487305,104.386961772164,0.0,,,,,,,0
8,127,304.25048562579013,96.6628170717695,0.0,,,,,,,0
9,127,849.53285844109,98.7849130690892,0.0,,,,,,,0
10,127,1374.94202891223,101.261648066962,0.0,,,,,,,0
11,127,1883.0931518733705,104.118511788002,0.0,,,,,,,0
9,128,811.87677829317,98.6243790837485,0.0,,,,,,,0
11,128,1840.0469114685602,103.857320141363,0.0,,,,,,,0
10,129,1294.6722970116498,100.853465853847,0.0,,,,,,,0
11,129,1797.5575460154596,103.603124970451,0.0,,,,,,,0
9,130,738.0160451088104,98.3157450239079,0.0,,,,,,,0
11,130,1755.61361770456,103.355676496317,0.0,,,,,,,0
9,131,701.7916613041298,98.167364956858,0.0,,,,,,,0
10,131,1216.4502983515004,100.466360433032,0.0,,,,,,,0
11,131,1714.2040092788502,103.114736328022,0.0,,,,,,,0
9,133,630.7075763173698,97.8818224342524,0.0,,,,,,,0
10,133,1140.1937100524801,100.098911622625,0.0,,,,,,,0
11,133,1632.94481821922,102.651480453574,0.0,,,,,,,0
9,134,595.8297396088401,97.7444136927003,0.0,,,,,,,0
11,134,1593.0745041063901,102.428739310759,0.0,,,,,,,0
11,135,1553.6970265519803,102.211654517331,0.0,,,,,,,0
9,136,527.3589761326903,97.4797429360828,0.0,,,,,,,0
11,136,1514.8027101831303,102.000035771819,0.0,,,,,,,0
9,137,493.7493484829902,97.3522635351002,0.0,,,,,,,0
10,137,993.2695821541502,99.4178863680253,0.0,,,,,,,0
11,137,1476.3821388957804,101.793700885892,0.0,,,,,,,0
12,137,1945.0516038396308,104.501022994726,0.0,,,,,,,0
11,138,1438.4261470764404,101.592475357578,0.0,,,,,,,0
