ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
1,12,1673.317,102.88,388.437,0,70000,50106.001,60000,90000,72443.449,13396,110634.145,8258.744,0.064
1,13,1255.31,100.657,233.315,0,10000,9999.751,10000,110000,30717.315,40318,826829.134,20507.692,0.478
1,14,887.686,98.949,96.649,10000,10000,10000.0,20000,11000000,88297.005,16701,226137.026,13540.328,0.13
1,15,561.383,97.61,36.655,10000,30000,16752.181,170000,24570000,417492.063,3781,16579.457,4384.939,0.009
2,23,1904.828,104.251,410.185,10000,20000,10593.967,10000,40000,13942.007,66906,3934960.18,58813.263,4.554
2,25,1457.346,101.692,314.635,10000,30000,15441.351,20000,70000,31182.652,35210,987109.38,28034.915,1.142
2,27,1065.824,99.749,136.591,10000,20000,10016.975,10000,1290000,59654.104,23563,403821.672,17137.956,0.467
2,29,719.846,98.241,60.225,10000,10000,10000.0,30000,17880000,147747.453,10407,85827.663,8247.108,0.099
2,31,411.486,97.046,17.528,10000,10000,10000.0,80000,31460000,531700.792,3029,6494.309,2144.044,0.007
3,34,1985.766,104.756,414.548,20000,30000,23189.278,20000,40000,29953.059,30891,1749981.814,56650.215,3.038
3,35,1825.822,103.771,408.055,10000,20000,11764.156,10000,20000,15624.405,59938,3520355.853,58733.288,6.111
3,37,1527.714,102.069,357.771,10000,20000,10009.714,10000,100000,16569.411,61763,1993950.875,32283.905,3.461
3,38,1388.525,101.331,294.837,10000,180000,25308.231,10000,280000,56240.437,20131,651846.103,32380.214,1.131
3,40,1127.669,100.039,182.725,10000,40000,22193.716,40000,140000,93194.854,14227,138737.111,9751.677,0.24
3,41,1005.239,99.472,121.064,10000,20000,10722.706,50000,4840000,73420.985,19510,327980.952,16810.915,0.569
3,43,774.707,98.468,68.802,10000,10000,10000.0,40000,15800000,128066.958,11889,112946.368,9500.073,0.196
3,44,666.025,98.022,50.677,10000,10000,10000.0,50000,21320000,177468.021,8757,64363.229,7349.917,0.111
3,46,460.546,97.227,23.414,10000,10000,10000.0,60000,29490000,395700.865,4046,12286.937,3036.81,0.021
3,47,363.297,96.872,11.221,10000,10000,10000.0,10000,35600000,834551.083,1939,2672.719,1378.4,0.004
4,47,1787.02,103.54,406.012,10000,30000,17333.481,10000,30000,23224.212,40476,2032895.645,50224.717,4.705
4,49,1563.495,102.265,358.153,10000,70000,45217.359,60000,100000,74726.728,13687,104847.771,7660.391,0.242
4,51,1354.677,101.157,275.943,10000,20000,10294.924,10000,80000,25148.328,46317,1143839.545,24695.89,2.647
4,53,1159.077,100.189,182.725,0,20000,10138.714,20000,180000,42574.015,31143,581168.886,18661.3,1.345
4,55,975.405,99.337,120.972,0,10000,9999.521,10000,4530000,68526.119,20905,335285.387,16038.526,0.776
4,57,802.539,98.584,77.233,0,10000,9999.25,20000,14310000,113000.149,13347,145320.474,10887.875,0.336
5,57,1953.154,104.551,413.605,10000,20000,13500.377,10000,20000,17508.642,52940,3764026.564,71099.859,10.891
5,58,1857.197,103.96,408.512,20000,40000,29544.636,30000,50000,39163.318,23893,898346.652,37598.738,2.599
4,59,639.495,97.916,52.106,0,20000,10017.801,60000,22340000,172634.917,8988,63724.544,7089.958,0.147
5,59,1763.959,103.404,402.771,10000,20000,11018.427,10000,40000,14970.315,63166,3015427.153,47738.136,8.725
4,61,485.41,97.32,29.728,10000,40000,23244.343,280000,26560000,719651.425,2210,5732.703,2593.983,0.013
5,61,1585.159,102.384,372.962,0,20000,10103.626,10000,80000,15631.956,63787,2240355.099,35122.44,6.482
5,62,1499.378,101.916,340.462,10000,260000,41303.004,10000,360000,73947.904,14244,402126.523,28231.292,1.163
4,63,339.522,96.787,11.105,10000,10000,10000.0,40000,34690000,844494.264,1919,2671.971,1392.376,0.006
5,63,1415.871,101.474,295.208,10000,20000,10015.117,10000,160000,22214.434,50935,1340068.747,26309.389,3.877
5,64,1334.545,101.054,275.711,10000,110000,76180.044,10000,360000,186312.17,6254,16252.96,2598.81,0.047
5,66,1178.081,100.28,207.089,10000,30000,13312.872,10000,190000,47758.473,26880,634432.972,23602.417,1.835
5,67,1102.777,99.922,158.188,10000,20000,10480.006,10000,270000,52458.4,26083,479248.332,18373.972,1.386
5,68,1029.324,99.581,136.626,10000,30000,17086.921,40000,1200000,101718.297,13817,193278.49,13988.455,0.559
5,69,957.65,99.258,107.771,10000,10000,10000.0,20000,8050000,78149.5,18623,276485.072,14846.43,0.8
5,71,819.368,98.656,77.152,0,20000,11795.098,70000,13420000,133450.716,11303,131045.057,11593.829,0.379
6,71,1748.675,103.315,402.592,20000,40000,29894.718,30000,50000,40647.614,23271,795997.841,34205.57,2.763
5,72,752.636,98.376,68.767,10000,20000,10043.952,50000,15920000,128710.059,11831,112727.766,9528.168,0.326
5,73,687.43,98.109,60.237,10000,10000,10000.0,40000,19140000,147712.336,10409,85901.233,8252.592,0.248
6,73,1599.685,102.465,373.211,10000,20000,12927.156,10000,60000,19978.751,49888,2030395.673,40699.079,7.049
5,74,623.697,97.854,44.236,10000,10000,10000.0,20000,22810000,204771.686,7644,45604.882,5966.101,0.131
5,76,500.438,97.377,29.774,10000,10000,10000.0,40000,26580000,309078.538,5145,20418.416,3968.594,0.059
5,77,440.816,97.154,23.478,10000,10000,10000.0,10000,29610000,394667.159,4057,12330.005,3039.192,0.035
6,77,1321.197,100.987,256.359,10000,30000,17750.841,20000,90000,48029.653,24956,459294.162,18404.157,1.594
5,78,382.47,96.941,17.54,10000,10000,10000.0,30000,31540000,531382.838,3031,6513.435,2148.939,0.018
