Inclination [°],Percentage of access [%],Minimum duration [s],Maximum duration [s],Average contact duration [min],Minimum wating time [s],Maximum waiting time [s],Average waiting time [s],Frequency
45,7.69045781893004,20000,940000,10952.0,5507000,31634000,7911877.777777778,91
46,7.673868312757199,48000,950000,11301.0,5498000,31632000,8186839.08045977,88
47,7.66949588477366,82000,959000,11424.0,5491000,31626000,8283069.76744186,87
48,7.6670524691358,62000,968000,11421.0,5481000,31616000,8283906.976744186,87
49,7.65560699588477,36000,975000,11404.0,5472000,31609000,8285558.139534884,87
50,7.63567386831275,136000,982000,11922.0,5460000,38028000,8692292.68292683,83
51,7.638760288065841,114000,993000,11927.0,5448000,38019000,8692658.536585366,83
52,7.63104423868312,84000,1005000,11915.0,5436000,38010000,8693853.658536585,83
53,7.61856995884773,26000,1017000,11895.0,5425000,38001000,8695256.097560976,83
54,7.5844907407407405,95000,1029000,11987.0,174000,37995000,8806098.765432099,82
55,7.54295267489711,61000,1040000,11777.0,127000,37985000,8702878.048780488,83
56,7.49614197530864,77000,1049000,11993.0,211000,37973000,8925225.0,81
57,7.46514917695473,36000,1060000,11944.0,318000,37960000,8928487.5,81
58,7.444830246913579,90000,1072000,12213.0,382000,37964000,9159705.128205128,79
59,7.412165637860079,21000,1093000,12007.0,73000,37952000,9047240.506329114,80
60,7.38593106995884,54000,1115000,12116.0,143000,37963000,9166102.564102564,79
61,7.36291152263374,96000,1138000,12392.0,246000,37978000,9409947.368421054,77
62,7.344778806584359,85000,1161000,12203.0,224000,37967000,9289818.181818182,78
63,7.319315843621391,66000,1185000,12319.0,337000,44436000,9414907.89473684,77
64,7.29166666666666,72000,1209000,12434.0,381000,44428000,9543573.333333334,76
65,7.25874485596707,69000,1234000,12543.0,424000,44420000,9676297.297297295,75
66,7.239840534979421,70000,1262000,12510.0,489000,44410000,9678567.567567568,75
67,7.25411522633744,77000,1289000,12370.0,48000,44400000,9548306.666666666,76
68,7.23611111111111,21000,1318000,12504.0,285000,44390000,9679513.513513513,75
69,7.21656378600823,19000,1350000,12470.0,451000,44388000,9681837.837837838,75
70,7.20949074074074,136000,1382000,12458.0,214000,44373000,9682864.864864863,75
71,7.18145576131687,192000,1414000,12577.0,324000,44358000,9818767.12328767,74
72,7.19393004115226,212000,1442000,12771.0,5095000,44343000,9954069.444444444,73
73,7.15637860082304,193000,1469000,12705.0,5082000,44324000,9958416.666666666,73
74,7.115354938271599,174000,1500000,12632.0,5068000,44304000,9963138.888888888,73
75,7.075102880658431,155000,1525000,12560.0,5035000,44280000,9967777.777777778,73
76,7.1167695473251,136000,1566000,12135.0,5000000,38832000,9565026.666666666,76
77,7.07278806584362,113000,1609000,12060.0,4969000,38753000,9569880.0,76
78,6.982510288065839,92000,1652000,11907.0,4939000,38685000,9579506.666666666,76
79,6.88914609053498,77000,1692000,11747.0,4912000,38641000,9589466.666666666,76
80,6.8037551440329205,59000,1730000,11602.0,4884000,38598000,9598613.333333334,76
81,6.74241255144032,47000,1762000,11497.0,4852000,38594000,9605266.666666666,76
82,6.650334362139911,34000,1794000,11193.0,4798000,38513000,9488578.94736842,77
83,6.55722736625514,22000,1821000,11036.0,4742000,38485000,9498368.421052633,77
84,6.5240483539094605,14000,1847000,10702.0,56000,38464000,9258397.435897436,79
85,6.41692386831275,4000,1867000,10661.0,4554000,38457000,9389675.324675323,78
86,6.382973251028801,3000,1893000,14512.0,526000,38461000,12915892.857142856,57
87,6.431455761316871,1000,1913000,17364.0,100000,38496000,15381574.468085106,48
88,6.47402263374485,12000,1940000,19976.0,217000,38524000,17625146.341463413,42
89,6.438528806584359,294000,1981000,21395.0,4195000,38547000,19024736.842105266,39
90,6.37435699588477,23000,1929000,21739.0,4146000,38556000,19552324.324324325,38
91,6.464248971193411,396000,1888000,21481.0,4061000,38564000,19017210.52631579,39
92,6.49922839506172,3000,1842000,19143.0,86000,36868000,16798651.162790697,44
93,6.470807613168721,6000,1796000,16772.0,13000,37006000,14745408.163265308,50
94,6.4281121399176895,1000,1766000,13016.0,45000,42387000,11473333.333333334,64
95,6.48739711934156,6000,1732000,10009.0,4073000,42445000,8702722.891566265,84
96,6.465534979423861,7000,1683000,9975.0,4101000,42503000,8702855.421686746,84
97,6.5216049382716,23000,1634000,10307.0,4104000,42559000,8452061.728395062,82
98,6.60609567901234,18000,1597000,10315.0,4122000,42592000,8340280.4878048785,83
99,6.6998456790123395,46000,1551000,10461.0,4141000,42644000,8330756.097560976,83
